date,doc_id,corporation,boss,law,action_cnt,rule_cnt
2015-10-12,北市勞動字第10435833400號,安泰商業銀行股份有限公司,齊百邁,30-1;32-1;49-1,1,3
2016-03-30,北市勞動字第10530347300號,耐德科技股份有限公司,陳昶任,9-1,1,1
2016-03-30,北市勞動字第10530293500號,聯盛物流有限公司,范俊,16-3;22-2;38,1,3
2016-03-31,北市勞動字第10530274000號,亞太國際地產股份有限公司,黃純萍,24;39;,1,3
2016-04-06,北市勞動字第10530293000號,麗翔股份有限公司,林泰生,24;32-1;,1,3
2016-04-07,北市勞動字第10530318700號,台灣勃肯股份有限公司,王俊賢,30-5,1,1
2016-04-15,北市勞動字第10531527100號,春保食品股份有限公司,陳鐘秀惠,24,1,1
2016-04-20,北市勞動字第10530338800號,尚通旅行社股份有限公司,陳思蒼,24;36;,1,3
2016-04-26,北市勞動字第10530363500號,優愛德股份有限公司,顏明哲,22-2;32-1;49-1;70,1,4
2016-04-28,北市勞動字第10530418300號,羅致逸建築師事務所),羅致逸,32-2,1,1
2016-04-28,北市勞動字第10530386300號,太平洋野菜工房科技股份有限公司,張君豪,24;39;,1,3
2016-05-02,北市勞動字第10530349900號,展圓國際股份有限公司,張寶鄰,24,1,1
2016-05-02,北市勞動字第10530351500號,芭芭拉實業股份有限公司,陳建亨,30-1,1,1
2016-05-02,北市勞動字第10530367600號,日正聯合會計師事務所),巫貴珍,24;30-1;,1,3
2016-05-04,北市勞動字第10530412800號,亞尼克?子工房股份有限公司,吳宗恩,32-2,1,1
2016-05-04,北市勞動字第10530415800號,尚通企業社),何鄭秀精,21-1;30-1,1,2
2016-05-04,北市勞動字第10530431900號,安吉而股份有限公司,郭勁初,30-6,1,1
2016-05-04,北市勞動字第10530371800號,首都大飯店股份有限公司,陳宗興,30-1;39,1,2
2016-05-04,北市勞動字第10530412000號,大恭化學工業股份有限公司,鄧加惠,30-6,1,1
2016-05-04,北市勞動字第10530371900號,金典酒吧),陳彥宇,22-2;30-1,1,2
2016-05-05,北市勞動字第10533268200號,迪揚工程有限公司,黃朝陽,59-14,1,1
2016-05-05,北市勞動字第10530380300號,慶隆起重工程有限公司,鍾寶治,30-5,1,1
2016-05-05,北市勞動字第10530391000號,大南汽車股份有限公司,黃奕炳,39,1,1
2016-05-05,北市勞動字第10530380200號,樺品國際有限公司,曾俊豪,22-2;24,1,2
2016-05-05,北市勞動字第10530380800號,大信觀光企業股份有限公司,林文東,22-2;32-1;39,1,3
2016-05-05,北市勞動字第10530399300號,真好玩娛樂科技股份有限公司,周玄昆,24;32-2,1,2
2016-05-05,北市勞動字第10530417600號,紅錵餐廳股份有限公司,張東碧,30-1;38,1,2
2016-05-05,北市勞動字第10531594500號,上斯公寓大廈管理維護有限公司,戴鈺珊,36;30-1,1,2
2016-05-06,北市勞動字第10530404100號,好佳小吃店),黃世昌,30-1;37,1,2
2016-05-06,北市勞動字第10530412600號,宏泰建設股份有限公司,林堉璘,24,1,1
2016-05-06,北市勞動字第10533747400號,泰和清潔事業有限公司,吳榮發,32-1;36,1,2
2016-05-06,北市勞動字第10530431300號,安杰國際保全股份有限公司,蔡欣怡,24;39,1,2
2016-05-06,北市勞動字第10530386100號,雲展科技股份有限公司,張進國,16-3;22-2,1,2
2016-05-09,北市勞動字第10530443900號,劉培森建築師事務所),劉培森,32-2,1,1
2016-05-09,北市勞動字第10530446300號,詮弘科技有限公司,馮全嵩,30-6,1,1
2016-05-09,北市勞動字第10530396800號,台灣賓士資融股份有限公司,亨格禮,32-2,1,1
2016-05-09,北市勞動字第10530386200號,十藝軒企業有限公司,吳聰明,24;30-1,1,2
2016-05-09,北市勞動字第10530401500號,鑫凰實業有限公司,魏勝揮,30-1;38,1,2
2016-05-09,北市勞動字第10530382400號,邦益工程有限公司,李秀娟,30-6,1,1
2016-05-10,北市勞動字第10530380500號,歐格實業有限公司,李邗,30-1,1,1
2016-05-11,北市勞動字第10530380900號,強固保全股份有限公司,湯永郎,32-2;36,1,2
2016-05-11,北市勞動字第10530396900號,皜驊股份有限公司,卓芷聿,24;39,1,2
2016-05-11,北市勞動字第10530385200號,本家股份有限公司,邱仕?,30-1,1,1
2016-05-11,北市勞動字第10530385500號,臺北市私立法泉老人長期照顧中心（養護型）,陳慧紅,30-1,1,1
2016-05-11,北市勞動字第10530390900號,魅力必緹診所）,簡榮宏,38,1,1
2016-05-11,北市勞動字第10530413000號,吉帝旅行社有限公司,王文瑛,24;30-1;39,1,3
2016-05-12,北市勞動字第10530443600號,依戀探索承德旅館股份有限公司,許又仁,36,1,1
2016-05-12,北市勞動字第10530428800號,裕利股份有限公司,許待明,32-2,1,1
2016-05-12,北市勞動字第10530442900號,水源福利會館股份有限公司,周戊彬,30-6,1,1
2016-05-12,北市勞動字第10535991700號,台灣億滋股份有限公司,陳利來,30-5,1,1
2016-05-12,北市勞動字第10530442400號,台北市民權社區管理委員會,王美華,30-1,1,1
2016-05-12,北市勞動字第10530432200號,佳禾貿易有限公司,許春塗,24;30-1,1,2
2016-05-12,北市勞動字第10530417500號,台業保全股份有限公司,莊碩鴻,24,1,1
2016-05-12,北市勞動字第10530444100號,固鈦汽車材料有限公司,陳益源,30-6,1,1
2016-05-12,北市勞動字第10530418200號,台灣卡瓦股份有限公司,Henner Witte,30-5,1,1
2016-05-12,北市勞動字第10530443300號,台造貿易有限公司,卓飛燕,30-6;38,1,2
2016-05-12,北市勞動字第10530404300號,首爾牛骨湯小吃店),金英培,36,1,1
2016-05-12,北市勞動字第10530446500號,美商雅詩蘭黛股份有限公司台灣分公司,陳國憫,36;49-5,1,2
2016-05-12,北市勞動字第10530437200號,臺北市私立健全老人長期照顧中心養護型),陳嫦娥,30-1,1,1
2016-05-12,北市勞動字第10530401700號,恆動力有限公司,陳守謙,30-1,1,1
2016-05-13,北市勞動字第10530390400號,香港商蘋果日報出版發展有限公司台灣分公司,葉一堅,32-3,1,1
2016-05-13,北市勞動字第10530444900號,臺北巿私立吉祥老人長期照顧中心(養護型),黃玉珍,30-1;35,1,2
2016-05-13,北市勞動字第10535187200號,紅耀食品有限公司,蔡文耀,30-1;30-5,1,2
2016-05-13,北市勞動字第10530389700號,惠明事業有限公司,楊玉杰,32-2,1,1
2016-05-13,北市勞動字第10530432300號,喜樂富興業有限公司,林梁秀琴,38,1,1
2016-05-13,北市勞動字第10533342900號,蝶戀花旅行社有限公司,周繼弘,7-1,1,1
2016-05-16,北市勞動字第10530436600號,萬成航空科技股份有限公司,曹美香,30-1,1,1
2016-05-16,北市勞動字第10530418400號,佳格食品股份有限公司,曹德風,30-6,1,1
2016-05-16,北市勞動字第10530431400號,精實企業管理顧問股份有限公司,林名正,30-5,1,1
2016-05-16,北市勞動字第10530415100號,微笑單車股份有限公司,劉金標,30-1,1,1
2016-05-16,北市勞動字第10535194900號,欣年代食品股份有限公司,廖照雄,7-1;38,1,2
2016-05-16,北市勞動字第10530412300號,亨創科技股份有限公司,洪世鴻,24,1,1
2016-05-16,北市勞動字第10530436200號,今周文化事業股份有限公司,謝金河,24;32-2;39,1,3
2016-05-16,北市勞動字第10530441800號,寒舍餐旅管理顧問股份有限公司,賴英里,24;32-2,1,2
2016-05-16,北市勞動字第10533702800號,平珩國際股份有限公司,林美惠,24;30-1;32-2,1,3
2016-05-17,北市勞動字第10536001500號,台灣富莉股份有限公司,葛帝奇,24;30-5;32-1;32-2;36;49-1;70,1,7
2016-05-17,北市勞動字第10530463700號,仕達營造有限公司,高進旺,80,1,1
2016-05-17,北市勞動字第10530442300號,招軒有限公司,賴榮松,36,1,1
2016-05-17,北市勞動字第10534138400號,全球保全股份有限公司,汪德源,32-2;36,1,2
2016-05-17,北市勞動字第10534102100號,奇異島股份有限公司,周明昭,24,1,1
2016-05-17,北市勞動字第10533348200號,昇華玻璃隔熱片行),賴清標,30-5,1,1
2016-05-17,北市勞動字第10530463600號,統展企業股份有限公司,莊再發,36,1,1
2016-05-18,北市勞動字第10530437100號,元國水電工程有限公司,官元愷,32-2,1,1
2016-05-18,北市勞動字第10530462700號,麻吉寵物用品有限公司,鄭淑鈴,36,1,1
2016-05-18,北市勞動字第10530446700號,昇陽保全股份有限公司,蕭榮濱,32-2,1,1
2016-05-18,北市勞動字第10530417100號,自由時報企業股份有限公司,吳阿明,30-1;32-1;49-1,1,3
2016-05-18,北市勞動字第10530444700號,聞明堂食品股份有限公司,陳次闓,32-2;36,1,2
2016-05-18,北市勞動字第10530429300號,哦思達股份有限公司,邱麗,24;49-1,1,2
2016-05-19,北市勞動字第10530457500號,厚普有限公司,黃俊銘,49-1,1,1
2016-05-19,北市勞動字第10530463000號,生活家牙醫診所),張凱茹,35,1,1
2016-05-19,北市勞動字第10530395900號,五嶽保全股份有限公司,劉莉淇,30-1;32-2;37,1,3
2016-05-19,北市勞動字第10530417400號,禾頡物流有限公司,林秀純,24;32-2;37,1,3
2016-05-19,北市勞動字第10530436700號,國富浩華聯合會計師事務所台北所,林志隆,24,1,1
2016-05-19,北市勞動字第10530437500號,東樺工程有限公司,李東陞,22-2,1,1
2016-05-20,北市勞動字第10530436400號,樂愛餐飲事業有限公司,黃文成,22-2,1,1
2016-05-20,北市勞動字第10530446600號,三仲企業有限公司,曾臺青,39,1,1
2016-05-20,北市勞動字第10530428600號,振揚工程企業社）,張仲賢,39,1,1
2016-05-20,北市勞動字第10530443500號,曾永信建築師事務所),曾永信,24;49-1,1,2
2016-05-23,北市勞動字第10530459200號,國際社群商務股份有限公司,邱小容,80,1,1
2016-05-23,北市勞動字第10534102000號,水啟動國際實業有限公司,邱小茜,80,1,1
2016-05-23,北市勞動字第10530443800號,韓媞生技股份有限公司,陳芳妹,23-1,1,1
2016-05-23,北市勞動字第10530459900號,伯祥國際股份有限公司,施錫基,30-1,1,1
2016-05-23,北市勞動字第10535203000號,歐立利國際展覽設計股份有限公司,許素娟,24;32-2,1,2
2016-05-24,北市勞動字第10530415600號,新光三越百貨股份有限公司,吳東興,32-2,1,1
2016-05-24,北市勞動字第10530414900號,匯豐保全股份有限公司,吳承?,21-1;24;36;38;39,1,5
2016-05-24,北市勞動字第10530418100號,儷奇企業有限公司,鄭載儒,80,1,1
2016-05-24,北市勞動字第10530418000號,聯裕國際開發有限公司,楊怡然,30-6,1,1
2016-05-25,北市勞動字第10530464000號,東霖興業有限公司,黃裕武,22-2;32-1;32-2;36;49-1,1,5
2016-05-25,北市勞動字第10530469500號,大同股份有限公司,林蔚山,30-5,1,1
2016-05-25,北市勞動字第10530459700號,中華民國愛加倍社會福利關懷協會,陳美琍,23-1,1,1
2016-05-25,北市勞動字第10530468900號,金士曼有限公司,葉威迅,23-1,1,1
2016-05-25,北市勞動字第10530463300號,泰盛企業有限公司,袁陳美,30-6;32-2;36,1,3
2016-05-25,北市勞動字第10530459600號,捷威清潔企業社),葉志偉,32-2,1,1
2016-05-25,北市勞動字第10530457100號,糖朝餐飲股份有限公司,劉鏘鏗,30-5,1,1
2016-05-25,北市勞動字第10530437300號,劉媽媽涼麵),劉清智,30-5,1,1
2016-05-25,北市勞動字第10530464100號,芝奇國際實業股份有限公司,黃于珍,32-2,1,1
2016-05-25,北市勞動字第10530468800號,飛租不可企業商行),林智宏,30-1,1,1
2016-05-26,北市勞動字第10530412500號,攪味國際有限公司,林嶼晟,24;36,1,2
2016-05-27,北市勞動字第10530431200號,米格科技企業社),林暐倫,30-1;30-5;35,1,3
2016-05-27,北市勞動字第10535985600號,葛洛莉美容國際有限公司,楊永源,68,1,1
2016-05-27,北市勞動字第10530428400號,凱美大樓管理委員會),姜寶慶,36,1,1
2016-05-27,北市勞動字第10530429000號,,邱建智,22-2,1,1
2016-05-30,北市勞動字第10530431800號,寶悍運動平台股份有限公司,盧金柱,24;32-2,1,2
2016-05-31,北市勞動字第10530441700號,悅電通信工程有限公司,高梅南,39,1,1
2015-10-20,府勞動字第10435857000號,惠康百貨股份有限公司,朱秉志,24,1,1
2015-10-27,府勞動字第10436709300號,?豐(台灣)商業銀行股份有限公司,黃碧娟,24,1,1
2015-11-11,府勞動字第10435603100號,台灣固網股份有限公司,蔡明興,24;,1,2
2015-11-11,府勞動字第10435610700號,荷蘭商柏蒂溫妮達亞太貿易股份有限公司台灣分公司,顧翰寧,24,1,1
2015-11-13,府勞動字第10435595900號,台灣虎航股份有限公司,余劍博,24,1,1
2016-03-24,北市勞動字第10530320400號,正義社區管理委員會,范陽煌,24;30-5,1,2
2015-09-30,府勞動字第10435031900號,遠東國際商業銀行股份有限公司,侯金英,32-1;32-2;39;49-1,1,4
2015-09-18,府勞動字第10435043900號,六福開發股份有限公司,莊村徹,24;35,1,2
2015-09-18,府勞動字第10435027000號,財團法人台灣兒童暨家庭扶助基金會,林柏榕,24;30-1;32-1;32-2;36;49-1;70,1,7
2016-01-06,北市勞動字10440828500號,利市商行),劉兆鎧,23-1,1,1
2016-01-12,北市勞動字10436347700號,朋廚有限公司,許詠翔,22-2,1,1
2016-01-28,北市勞動字10439596200號,雅克運動行銷有限公司,王德源,24;30-5,1,2
2016-01-30,北市勞動字10531126100號,台灣電力股份有限公司,黃重球,39,1,1
2016-01-30,北市勞動字10439641100號,光華巴士股份有限公司,呂奇龍,59-11;59-12,1,2
2016-01-30,北市勞動字10439663100號,新新聞文化事業股份有限公司,朱國榮,22-2,1,1
2016-02-02,北市勞動字10439695700號,明新工程股份有限公司,林春誠,17,1,1
2016-02-15,北市勞動字10439661600號,臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理,連吉時,24;32-2,1,2
2016-02-17,北市勞動字10439658400號,皇家電訊科技有限公司,林文凱,24;30-5;36;37,1,4
2016-02-25,北市勞動字10509079000號,三彥實業有限公司,陳彥廷,30-1,1,1
2016-03-02,北市勞動字10531959800號,威超保全股份有限公司,楊震宇,22-2;30-1;30-5,1,3
2016-03-03,北市勞動字10530229400號,騰普科技有限公司,黃舜,32-1;32-2;49-1,1,3
2016-03-08,北市勞動字10530323200號,金品茶語股份有限公司,黃馨儀,39,1,1
2016-03-11,北市勞動字10531915200號,大春事業股份有限公司,林希亮,36;49-1;70,1,3
2016-04-01,北市勞動字第10530317300號,傢齊精品瓷磚有限公司,張魁倫,24;32-2,1,2
2016-04-01,北市勞動字第10530321200號,訊聯生物科技股份有限公司,蔡政憲,24,1,1
2016-04-01,北市勞動字第10530363700號,天協右汽車有限公司,李錦富,30-5,1,1
2016-04-01,北市勞動字第10530356800號,精彩食譜股份有限公司,賴粵興,36,1,1
2016-04-01,北市勞動字第10530351600號,我們好好股份有限公司,馮惠芸,30-5;37,1,2
2016-04-01,北市勞動字第10530346900號,藝珂人事顧問股份有限公司,陳玉芬,36;32-2,1,2
2016-04-01,北市勞動字第10530332700號,羅登光學有限公司,沈文裕,36,1,1
2016-04-01,北市勞動字第10530342800號,長和環保事業有限公司,陳清河,30-1,1,1
2016-04-01,北市勞動字第10530287500號,國昀保全股份有限公司,林治方,24,1,1
2016-04-01,北市勞動字第10533232200號,光華巴士股份有限公司,呂奇龍,32-2;36,1,2
2016-04-06,北市勞動字第10533199500號,金色三麥餐飲股份有限公司,葉冠廷,32-2,1,1
2016-04-06,北市勞動字第10530352500號,貝克漢健康事業股份有限公司,林建吉,22-2;30-1,1,2
2016-04-06,北市勞動字第10530385700號,東寧保全股份有限公司,林俊廷,36;32-2,1,2
2016-04-06,北市勞動字第10530290200號,台灣欣恆美股份有限公司,謝正傑,24;39,1,2
2016-04-06,北市勞動字第10530292500號,晶麒便當）,洪素月,30-5,1,1
2016-04-06,北市勞動字第10530289400號,碩廷企業有限公司,胡楚楓,16-3,1,1
2016-04-06,北市勞動字第10530292700號,葛洛莉美容國際有限公司,楊永源,37,1,1
2016-04-06,北市勞動字第10530301400號,福克斯保全股份有限公司,游功權,21-1,1,1
2016-04-06,北市勞動字第10530302000號,源吉兆庵股份有限公司,岡田拓士,24;39,1,2
2016-04-06,北市勞動字第10530292800號,職事國際有限公司,楊永源,37,1,1
2016-04-06,北市勞動字第10530293000號,麗翔股份有限公司,林泰生,24;32-1,1,2
2016-04-06,北市勞動字第10531508000號,黛安娜國際企業有限公司,蔡承璋,37;38,1,2
2016-04-06,北市勞動字第10530319200號,丸十國際企業有限公司,洪麗芬,30-1;36;37;38,1,4
2016-04-06,北市勞動字第10530296000號,全家人牛排小吃店),汪錢登弟,39,1,1
2016-04-06,北市勞動字第10530290100號,中興大業巴士股份有限公司,呂奇龍,30-5,1,1
2016-04-06,北市勞動字第10531500500號,南山人壽保險股份有限公司,杜英宗,32-1,1,1
2016-04-07,北市勞動字第10530347800號,英商巴克萊銀行股份有限公司台北分公司,林景聰,30-5,1,1
2016-04-07,北市勞動字第10530318700號,台灣勃肯股份有限公司,王俊賢,30-5,1,1
2016-04-08,北市勞動字第10531514000號,台灣三菱商事股份有限公司,根本宏?,24;32-2;49-1,1,3
2016-04-08,北市勞動字第10530356500號,飛天數位科技有限公司,廖永淦,30-1;30-5,1,2
2016-04-08,北市勞動字第10531505100號,遠東航空股份有限公司,張綱維,22-2,1,1
2016-04-08,北市勞動字第10531505600號,優騰國際室內裝修設計有限公司,吳興達,22-2;30-5;39,1,3
2016-04-11,北市勞動字第10531809400號,香港商蘋果日報出版發展有限公司台灣分公司,葉一堅,30-1,1,1
2016-04-11,北市勞動字第10530348000號,永安觀光事業股份有限公司,陳昱如,37,1,1
2016-04-11,北市勞動字第10530326300號,景美阿里郎韓式料理）,傅聖育,30-5,1,1
2016-04-11,北市勞動字第10530319500號,民生漾行股份有限公司,余振民,30-1;37,1,2
2016-04-12,北市勞動字第10531835900號,豪泰汽車客運股份有限公司,周文蘭,30-1;30-5;39,1,3
2016-04-12,北市勞動字第10531812600號,財團法人中衛發展中心,佘日新,24,1,1
2016-04-12,北市勞動字第10531838400號,統聯汽車客運股份有限公司,呂奇?,39,1,1
2016-04-12,北市勞動字第10530356300號,北智捷汽車股份有限公司,胡開昌,30-1;30-5,1,2
2016-04-12,北市勞動字第10530362900號,禮麗國際有限公司,李少麗,24,1,1
2016-04-12,北市勞動字第10530356900號,宏觀視覺設計有限公司,鍾志宏,24,1,1
2016-04-12,北市勞動字第10530312800號,瑟琳娜美容有限公司,藤本子,30-1,1,1
2016-04-12,北市勞動字第10530332900號,麗儀服飾實業股份有限公司,張秋吉,24;30-1;36,1,3
2016-04-12,北市勞動字第10530347500號,凱越貿易有限公司,李圳雄,38,1,1
2016-04-12,北市勞動字第10533366200號,歐艾斯公寓大廈管理維護股份有限公司,蔡培,32-2;36,1,2
2016-04-13,北市勞動字第10530348300號,大福小客車租賃股份有限公司,林家弘,30-5,1,1
2016-04-13,北市勞動字第10530311800號,錏洲娛樂機械有限公司,許正良,30-1,1,1
2016-04-13,北市勞動字第10530339100號,彩色世界國際有限公司,翁義璋,30-5,1,1
2016-04-14,北市勞動字第10531973500號,民間全民電視股份有限公司,田再庭,30-5;32-2;32-1,1,3
2016-04-14,北市勞動字第10533266300號,台南擔仔麵股份有限公司,周文保,36;32-2;24;39;30-1,1,5
2016-04-14,北市勞動字第10531527900號,禾寶醫療器材股份有限公司,林國堂,24;30-1;32-2,1,3
2016-04-14,北市勞動字第10530332500號,車麗屋汽車百貨股份有限公司,卓豐閔,22-2;24;30-1,1,3
2016-04-14,北市勞動字第10531527200號,英莩留學服務股份有限公司,凌昆斯,24;30-5;70,1,3
2016-04-15,北市勞動字第10530365600號,國立陽明大學,梁賡義,24,1,1
2016-04-15,北市勞動字第10530399700號,北都數位有線電視股份有限公司,林冠羽,24;36,1,2
2016-04-15,北市勞動字第10530334300號,瓦薩美式餐飲有限公司,徐和森,24,1,1
2016-04-15,北市勞動字第10530338700號,美商視龍有限公司台灣分公司,林勍翊,30-5,1,1
2016-04-15,北市勞動字第10531527100號,春保食品股份有限公司,陳鐘秀惠,24,1,1
2016-04-18,北市勞動字第10531533800號,台灣高速鐵路股份有限公司,劉維琪,39;37,1,2
2016-04-19,北市勞動字第10510715500號,銓閎有限公司,許秀蓁,32-2;36,1,2
2016-04-20,北市勞動字第10530363600號,中國電視事業股份有限公司,吳根成,39,1,1
2016-04-20,北市勞動字第10530335300號,伯朗咖啡股份有限公司,李玉鼎,22-2,1,1
2016-04-20,北市勞動字第10530338800號,尚通旅行社股份有限公司,陳思蒼,24;36,1,2
2016-04-20,北市勞動字第10530332800號,綠廾院實業有限公司,黃坤旺,30-5,1,1
2016-04-20,北市勞動字第10530333100號,張偉幸建築師事務所),張偉幸,32-2,1,1
2016-04-21,北市勞動字第10530404400號,遠東航空股份有限公司,張綱維,32-2,1,1
2016-04-21,北市勞動字第10530356000號,妞時尚股份有限公司,莊麗齡,80,1,1
2016-04-21,北市勞動字第10530365700號,富威科技股份有限公司,曾國棟,24;30-5;32-2,1,3
2016-04-21,北市勞動字第10530380400號,高砂紡織股份有限公司,周正剛,23-1,1,1
2016-04-21,北市勞動字第10531955100號,熙尚公關顧問有限公司,曾艾芸,30-5,1,1
2016-04-22,北市勞動字第10530224000號,己愛眼鏡有限公司,施己東,24;30-1,1,2
2016-04-25,北市勞動字第10531924300號,夏商國際工程有限公司,賴意欣,594,1,1
2016-04-26,北市勞動字第10530396500號,展業國際行銷股份有限公司,陳習全,30-1;36;39,1,3
2016-04-26,北市勞動字第10508161600號,台灣施舒雅美容世界股份有限公司,須藤政子,24,1,1
2016-04-26,北市勞動字第10530335100號,高樂餐飲事業股份有限公司,秦明福,30-1;37,1,2
2016-04-26,北市勞動字第10530366000號,暢想數位有限公司,洪紀瑄,24;30-1,1,2
2016-04-26,北市勞動字第10530390500號,普威實業股份有限公司,郭淑雲,24;32-2;36,1,3
2016-04-26,北市勞動字第10530381100號,亞洲時尚股份有限公司,陳守華,23-1,1,1
2016-04-26,北市勞動字第10530399200號,鳳彬企業有限公司,劉世彬,38,1,1
2016-04-26,北市勞動字第10530382600號,冠?股份有限公司,丁洋機,30-5;24,1,2
2016-04-26,北市勞動字第10530404000號,東遠國際有限公司,陳慕珊,22-2,1,1
2016-04-26,北市勞動字第10530396600號,品華開發股份有限公司,張茂松,32-2;36,1,2
2016-04-26,北市勞動字第10530415300號,香港商楷思培有限公司臺灣分公司,鄭偉雄,24;32-2;36,1,3
2016-04-26,北市勞動字第10530357300號,寀奕國際股份有限公司,沈裕雄,24,1,1
2016-04-26,北市勞動字第10530363500號,優愛德股份有限公司,顏明哲,22-2;32-1;49-1;70,1,4
2016-04-26,北市勞動字第10530399900號,港記酥皇有限公司,簡梅音,36,1,1
2016-04-26,北市勞動字第10536050300號,中國青年救國團劍潭海外青年活動中心),柯經一,24;32-2,1,2
2016-04-26,北市勞動字第10530356600號,來多國際企業股份有限公司,黃文裕,22-2;24;39,1,3
2016-04-26,北市勞動字第10533366300號,大地假期旅行社有限公司,曾材樺,24,1,1
2016-04-26,北市勞動字第10530381400號,臺北市私立景安老人長期照顧中心養護型),高倪雪,36,1,1
2016-04-26,北市勞動字第10530349000號,原始碼智慧股份有限公司,曾世喬,23-1,1,1
2016-04-26,北市勞動字第10530399800號,臺北市私立美安老人長期照顧中心養護型),吳米加,36,1,1
2016-04-26,北市勞動字第10530385300號,台北溙小吃店),趙穎涵,30-1;30-6;39,1,3
2016-04-26,北市勞動字第10530390700號,好遞食美食坊),陳妍名,30-5,1,1
2016-04-26,北市勞動字第10530335500號,曜美國際美業有限公司,李寶琳,22-2,1,1
2016-04-27,北市勞動字第10530397100號,咖碼股份有限公司,許建珠,22-2,1,1
2016-04-27,北市勞動字第10530404600號,匯僑室內裝修設計有限公司,王秀卿,32-2,1,1
2016-04-27,北市勞動字第10530386600號,米騰造型工作室),游雯淇,30-1,1,1
2016-04-27,北市勞動字第10530380100號,豐晨貿易股份有限公司,許婕穎,30-1;30-1,1,2
2016-04-27,北市勞動字第10530381900號,森那美起亞汽車股份有限公司,何國文,24,1,1
2016-04-27,北市勞動字第10530398900號,白色階梯攝影有限公司,邱靜華,24,1,1
2016-04-27,北市勞動字第10530415000號,香港商雅虎資訊股份有限公司台灣分公司,鄒開蓮,30-5,1,1
2016-04-27,北市勞動字第10531572200號,涵漾工作室),鍾和春,22-2,1,1
2016-04-27,北市勞動字第10530382000號,威星國際有限公司,洪明海,36,1,1
2016-04-27,北市勞動字第10530380600號,優購愛馬機車精品股份有限公司,蔡林麗禎,22-2;37;38;30-6,1,4
2016-04-27,北市勞動字第10530404200號,興煒貿易有限公司,鄭立賢,30-6,1,1
2016-04-27,北市勞動字第10530372000號,長榮中醫診所),張瑜美,24,1,1
2016-04-27,北市勞動字第10530390200號,荷蘭商?拉股份有限公司台灣分公司,陸嘉林,35;37,1,2
2016-04-27,北市勞動字第10530396100號,國裕開發股份有限公司,林鴻道,39,1,1
2016-04-27,北市勞動字第10533199400號,饗賓餐旅事業股份有限公司,陳?昌,30-1;32-1;39;49-1,1,4
2016-04-27,北市勞動字第10530352600號,興富發建設股份有限公司,鄭志隆,24,1,1
2016-04-27,北市勞動字第10530363800號,京華世界鑽石股份有限公司,柯朝祥,24;30-1,1,2
2016-04-27,北市勞動字第10530399000號,宇加有限公司,陳金蘭,30-1;39,1,2
2016-04-27,北市勞動字第10530386500號,喜上攝影有限公司,劉雀如,30-5,1,1
